# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L4C.r1.gsnap_reads.tab" "-F" "GTF" "aln/L4C.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L4C.r1.gsnap.bam
CLUG_02686	Supercontig_1.3	752339	752785	+	447	1747
CLUG_02687	Supercontig_1.3	756110	757318	+	1209	1099
CLUG_02688	Supercontig_1.3	757659	759791	-	2133	2833
CLUG_02689	Supercontig_1.3	761257	762048	-	792	18982
CLUG_02690	Supercontig_1.3	764083	765900	+	1818	4456
CLUG_02691	Supercontig_1.3	766709	768538	+	1830	1287
CLUG_02692	Supercontig_1.3	768928	770196	-	1269	5974
CLUG_02693	Supercontig_1.3	771250	772128	-	879	16958
CLUG_02694	Supercontig_1.3	774725	776185	+	1461	2574
CLUG_02695	Supercontig_1.3	777248	778933	+	1686	30
CLUG_02696	Supercontig_1.3	779872	780786	+	915	5348
CLUG_02697	Supercontig_1.3	782031	783407	+	1377	7972
CLUG_02698	Supercontig_1.3	783586	783948	-	363	681
CLUG_02699	Supercontig_1.3	785276	785641	+	366	10700
CLUG_02700	Supercontig_1.3	786332	789301	+	2970	4060
CLUG_02701	Supercontig_1.3	789449	790429	-	981	5352
CLUG_02702	Supercontig_1.3	792127	794121	-	1995	119
CLUG_02703	Supercontig_1.3	795050	795643	-	594	751
CLUG_02704	Supercontig_1.3	797525	798130	+	606	2892
CLUG_02705	Supercontig_1.3	799120	799785	+	666	628
CLUG_02706	Supercontig_1.3	800012	800614	-	603	390
CLUG_02707	Supercontig_1.3	801070	802404	+	1335	5114
CLUG_02708	Supercontig_1.3	802798	803172	+	375	678
CLUG_02709	Supercontig_1.3	803388	803840	+	453	1425
CLUG_02710	Supercontig_1.3	803442	803978	-	537	1409
CLUG_02711	Supercontig_1.3	807432	808142	+	711	1160
CLUG_02712	Supercontig_1.3	810870	812198	+	1329	903
CLUG_02713	Supercontig_1.3	812992	814050	-	1059	4494
CLUG_02714	Supercontig_1.3	815385	817844	-	2460	525
CLUG_02715	Supercontig_1.3	818481	820241	-	1761	15412
CLUG_02716	Supercontig_1.3	822160	823551	-	1392	4737
CLUG_02717	Supercontig_1.3	824076	824606	+	531	276
CLUG_02718	Supercontig_1.3	824690	825493	-	804	7231
CLUG_02719	Supercontig_1.3	826014	828365	-	2352	3997
CLUG_02720	Supercontig_1.3	830435	831532	+	1098	1039
CLUG_02721	Supercontig_1.3	830853	831335	-	483	456
CLUG_02722	Supercontig_1.3	831623	832180	-	558	413
CLUG_02723	Supercontig_1.3	833005	834705	-	1701	1396
CLUG_02724	Supercontig_1.3	835267	836394	-	1128	4361
CLUG_02725	Supercontig_1.3	835333	836412	+	1080	3800
CLUG_02726	Supercontig_1.3	837075	838151	+	1077	1129
CLUG_02727	Supercontig_1.3	839563	842040	-	2478	4983
CLUG_02728	Supercontig_1.3	842757	843821	+	1065	777
CLUG_02729	Supercontig_1.3	844259	844606	-	348	790
CLUG_02730	Supercontig_1.3	845116	845826	+	711	21
CLUG_02731	Supercontig_1.3	848372	852814	+	4443	3906
CLUG_02732	Supercontig_1.3	852990	856016	+	3027	3304
CLUG_02733	Supercontig_1.3	856509	858137	+	1629	2081
CLUG_02734	Supercontig_1.3	859479	860822	+	1344	4455
CLUG_02735	Supercontig_1.3	861920	862891	+	972	14083
CLUG_02736	Supercontig_1.3	863425	864408	+	984	1644
CLUG_02737	Supercontig_1.3	865465	866241	+	777	434
CLUG_02738	Supercontig_1.3	865537	866523	-	987	712
CLUG_02739	Supercontig_1.3	866848	868308	+	1461	7054
CLUG_02740	Supercontig_1.3	868937	873037	-	4101	2052
CLUG_02741	Supercontig_1.3	873928	874629	-	702	183
CLUG_02742	Supercontig_1.3	876687	880412	+	3726	4153
CLUG_02743	Supercontig_1.3	880514	882862	-	2349	2532
CLUG_02744	Supercontig_1.3	884403	887201	+	2799	10210
CLUG_02745	Supercontig_1.3	887589	888374	-	786	1026
CLUG_02746	Supercontig_1.3	889638	891890	+	2253	2516
CLUG_02747	Supercontig_1.3	892009	894630	-	2622	3647
CLUG_02748	Supercontig_1.3	896928	899645	-	2718	3791
CLUG_02749	Supercontig_1.3	902508	904073	+	1566	1262
CLUG_02750	Supercontig_1.3	904434	905531	-	1098	848
CLUG_02751	Supercontig_1.3	906588	908171	-	1584	118
CLUG_02752	Supercontig_1.3	909327	911768	+	2442	3544
CLUG_02753	Supercontig_1.3	911884	912183	-	300	408
CLUG_02754	Supercontig_1.3	912644	913834	+	1191	8320
CLUG_02755	Supercontig_1.3	914589	915185	+	597	489
CLUG_02756	Supercontig_1.3	915602	915865	-	264	210
CLUG_02757	Supercontig_1.3	916111	917085	-	975	1022
CLUG_02758	Supercontig_1.3	919882	922605	+	2724	710
CLUG_02759	Supercontig_1.3	923386	923931	+	546	87
CLUG_02760	Supercontig_1.3	924706	925287	+	582	1474
CLUG_02761	Supercontig_1.3	929004	932816	-	3813	6936
CLUG_02762	Supercontig_1.3	933729	934955	-	1227	1234
CLUG_02763	Supercontig_1.3	936333	938606	+	2274	9931
CLUG_02764	Supercontig_1.3	939123	940883	+	1761	1457
CLUG_02765	Supercontig_1.3	941856	946397	+	4542	9367
CLUG_02766	Supercontig_1.3	946591	949008	-	2418	7244
CLUG_02767	Supercontig_1.3	949739	951991	+	2253	433
CLUG_02768	Supercontig_1.3	952102	954969	-	2868	2662
CLUG_02769	Supercontig_1.3	955035	957221	-	2187	691
CLUG_02770	Supercontig_1.3	958359	959507	-	1149	1990
CLUG_02771	Supercontig_1.3	961272	963182	+	1911	0
CLUG_02772	Supercontig_1.3	963872	966310	+	2439	2599
CLUG_02773	Supercontig_1.3	966793	967791	-	999	577
CLUG_02774	Supercontig_1.3	968811	970175	-	1365	484
CLUG_02775	Supercontig_1.3	971367	971999	-	633	290
CLUG_02776	Supercontig_1.3	972130	972363	+	234	835
CLUG_02777	Supercontig_1.3	972684	974816	-	2133	1064
CLUG_02778	Supercontig_1.3	975544	977724	-	2181	3457
CLUG_02779	Supercontig_1.3	978192	978572	+	381	384
CLUG_02780	Supercontig_1.3	978910	980280	-	1371	2091
CLUG_02781	Supercontig_1.3	981143	982456	-	1314	571
CLUG_02782	Supercontig_1.3	983529	985154	-	1626	26300
CLUG_02783	Supercontig_1.3	987427	988290	-	864	5083
CLUG_02784	Supercontig_1.3	989697	990887	-	1191	3716
CLUG_02785	Supercontig_1.3	993939	996440	+	2502	20485
CLUG_02786	Supercontig_1.3	997470	998210	-	741	590
CLUG_02787	Supercontig_1.3	999120	1000412	+	1293	761
CLUG_02788	Supercontig_1.3	1000545	1000928	-	384	2901
CLUG_02789	Supercontig_1.3	1001581	1002165	+	585	1146
CLUG_02790	Supercontig_1.3	1002265	1005294	-	3030	2751
CLUG_02791	Supercontig_1.3	1009221	1010465	+	1245	355
CLUG_02792	Supercontig_1.3	1015127	1015723	+	597	428
CLUG_02793	Supercontig_1.3	1015668	1016447	+	780	620
CLUG_02794	Supercontig_1.3	1015847	1016410	-	564	529
CLUG_02795	Supercontig_1.3	1017162	1017827	+	666	1134
CLUG_02796	Supercontig_1.3	1018311	1019405	+	1095	2222
CLUG_02797	Supercontig_1.3	1019683	1021902	-	2220	2057
CLUG_02798	Supercontig_1.3	1026221	1028011	+	1791	3454
CLUG_02799	Supercontig_1.3	1029065	1029631	-	567	9517
CLUG_02800	Supercontig_1.3	1031067	1031822	+	756	2822
CLUG_02801	Supercontig_1.3	1032769	1033302	+	534	789
CLUG_02802	Supercontig_1.3	1033764	1034252	-	489	1132
CLUG_02803	Supercontig_1.3	1035519	1037819	-	2301	2145
CLUG_02804	Supercontig_1.3	1039305	1040978	+	1674	2782
CLUG_02805	Supercontig_1.3	1042591	1045803	+	3213	1987
CLUG_02806	Supercontig_1.3	1046695	1048287	+	1593	1063
CLUG_02807	Supercontig_1.3	1048375	1049040	-	666	551
CLUG_02808	Supercontig_1.3	1049301	1051937	+	2637	1598
CLUG_02809	Supercontig_1.3	1052885	1055527	+	2643	1416
CLUG_02810	Supercontig_1.3	1052992	1054080	+	1089	0
CLUG_02811	Supercontig_1.3	1053497	1053958	-	462	709
CLUG_02812	Supercontig_1.3	1054387	1054971	+	585	0
CLUG_02813	Supercontig_1.3	1057042	1059105	+	2064	4522
CLUG_02814	Supercontig_1.3	1060228	1061424	+	1197	613
CLUG_02815	Supercontig_1.3	1063063	1063704	+	642	3919
CLUG_02816	Supercontig_1.3	1064268	1065188	+	921	1756
CLUG_02817	Supercontig_1.3	1066363	1068039	+	1677	3352
CLUG_02818	Supercontig_1.3	1068633	1069796	+	1164	320
CLUG_02819	Supercontig_1.3	1070946	1071743	+	798	42
CLUG_02820	Supercontig_1.3	1072350	1074239	-	1890	24083
CLUG_02821	Supercontig_1.3	1072356	1074197	+	1842	23390
CLUG_02822	Supercontig_1.3	1074690	1075958	-	1269	821
CLUG_02823	Supercontig_1.3	1078173	1079633	+	1461	535
CLUG_02824	Supercontig_1.3	1078424	1079044	-	621	191
CLUG_02825	Supercontig_1.3	1079966	1082332	-	2367	2916
CLUG_02826	Supercontig_1.3	1082809	1083639	+	831	1027
CLUG_02827	Supercontig_1.3	1084340	1084696	+	357	7285
CLUG_02828	Supercontig_1.3	1086486	1087049	+	564	1058
CLUG_02829	Supercontig_1.3	1086513	1087241	-	729	1503
CLUG_02830	Supercontig_1.3	1087291	1088175	+	885	2716
CLUG_02831	Supercontig_1.3	1088626	1089369	-	744	725
CLUG_02832	Supercontig_1.3	1088761	1090161	+	1401	1084
CLUG_02833	Supercontig_1.3	1090274	1092439	+	2166	2625
CLUG_02834	Supercontig_1.3	1092921	1093706	-	786	316
CLUG_02835	Supercontig_1.3	1094027	1096657	-	2631	337
CLUG_02836	Supercontig_1.3	1094159	1096588	+	2430	471
CLUG_02837	Supercontig_1.3	1095460	1096281	-	822	0
CLUG_02838	Supercontig_1.3	1098935	1099915	-	981	2559
CLUG_02839	Supercontig_1.3	1100527	1101141	-	615	23
CLUG_02840	Supercontig_1.3	1100754	1101218	-	465	202
CLUG_02841	Supercontig_1.3	1100904	1101449	+	546	1709
CLUG_02842	Supercontig_1.3	1102350	1103723	-	1374	3302
CLUG_02843	Supercontig_1.3	1104906	1107230	+	2325	2577
CLUG_02844	Supercontig_1.3	1109305	1110144	-	840	7264
CLUG_02845	Supercontig_1.3	1112052	1114052	-	2001	2030
CLUG_02846	Supercontig_1.3	1112518	1113048	+	531	564
CLUG_02847	Supercontig_1.3	1114961	1115692	+	732	733
CLUG_02848	Supercontig_1.3	1116084	1117670	+	1587	697
CLUG_02849	Supercontig_1.3	1118041	1119057	+	1017	895
CLUG_02850	Supercontig_1.3	1120081	1120689	-	609	4301
CLUG_02851	Supercontig_1.3	1120103	1120900	+	798	4389
CLUG_02852	Supercontig_1.3	1121369	1121779	-	411	947
CLUG_02853	Supercontig_1.3	1122761	1124689	-	1929	2619
CLUG_02854	Supercontig_1.3	1126854	1128155	+	1302	11075
CLUG_02855	Supercontig_1.3	1128666	1130234	+	1569	1569
CLUG_02856	Supercontig_1.3	1130717	1132891	+	2175	2880
CLUG_02857	Supercontig_1.3	1132893	1134020	-	1128	2754
CLUG_02858	Supercontig_1.3	1134937	1135992	+	1056	17045
CLUG_02859	Supercontig_1.3	1136595	1139072	+	2478	967
CLUG_02860	Supercontig_1.3	1139062	1139889	-	828	488
CLUG_02861	Supercontig_1.3	1139930	1140631	-	702	715
CLUG_02862	Supercontig_1.3	1140825	1141505	-	681	259
CLUG_02863	Supercontig_1.3	1142102	1142941	-	840	3252
CLUG_02864	Supercontig_1.3	1143268	1144671	-	1404	21674
CLUG_02865	Supercontig_1.3	1145263	1146300	-	1038	1679
CLUG_02866	Supercontig_1.3	1146534	1147445	-	912	266
CLUG_02867	Supercontig_1.3	1147741	1147923	-	183	1218
CLUG_02868	Supercontig_1.3	1148247	1151654	+	3408	3251
CLUG_02869	Supercontig_1.3	1152027	1152728	+	702	1095
CLUG_02870	Supercontig_1.3	1152780	1153511	-	732	624
CLUG_02871	Supercontig_1.3	1153770	1156157	-	2388	3986
CLUG_02872	Supercontig_1.3	1156366	1158003	-	1638	829
CLUG_02873	Supercontig_1.3	1162379	1163701	-	1323	1211
CLUG_02874	Supercontig_1.3	1163794	1164783	-	990	3046
CLUG_02875	Supercontig_1.3	1164847	1165917	+	1071	1493
CLUG_02876	Supercontig_1.3	1165940	1166275	-	336	497
CLUG_02877	Supercontig_1.3	1166745	1169657	+	2913	2463
CLUG_02878	Supercontig_1.3	1171226	1172797	+	1572	12689
CLUG_02879	Supercontig_1.3	1172989	1174407	+	1419	2166
CLUG_02880	Supercontig_1.3	1174763	1176649	+	1887	2818
CLUG_02881	Supercontig_1.3	1176689	1178953	-	2265	3949
CLUG_02882	Supercontig_1.3	1179536	1179853	+	318	8716
CLUG_02883	Supercontig_1.3	1180057	1180608	+	552	340
CLUG_02884	Supercontig_1.3	1180733	1182763	-	2031	5480
CLUG_02885	Supercontig_1.3	1184002	1185924	-	1923	336
CLUG_02886	Supercontig_1.3	1186759	1188501	+	1743	225
CLUG_02887	Supercontig_1.3	1190024	1191541	+	1518	4872
CLUG_02888	Supercontig_1.3	1192485	1193849	+	1365	5376
CLUG_02889	Supercontig_1.3	1194932	1196722	+	1791	3544
CLUG_02890	Supercontig_1.3	1197808	1199487	+	1680	4485
CLUG_02891	Supercontig_1.3	1200093	1201316	-	1224	4663
CLUG_02892	Supercontig_1.3	1201495	1203318	-	1824	2995
CLUG_02893	Supercontig_1.3	1204406	1205503	-	1098	835
CLUG_02894	Supercontig_1.3	1206072	1206836	-	765	657
CLUG_02895	Supercontig_1.3	1206180	1206884	+	705	443
CLUG_02896	Supercontig_1.3	1207383	1208615	+	1233	792
CLUG_02897	Supercontig_1.3	1207575	1208249	-	675	417
CLUG_02898	Supercontig_1.3	1209299	1209994	+	696	690
CLUG_02899	Supercontig_1.3	1209446	1210168	-	723	673
CLUG_02900	Supercontig_1.3	1210792	1213074	-	2283	241
CLUG_02901	Supercontig_1.3	1214515	1215294	-	780	2297
CLUG_02902	Supercontig_1.3	1216118	1216981	-	864	1405
CLUG_02903	Supercontig_1.3	1217694	1218476	-	783	1
CLUG_02904	Supercontig_1.3	1220749	1222149	-	1401	325
CLUG_02905	Supercontig_1.3	1222585	1223052	-	468	203
CLUG_02906	Supercontig_1.3	1227527	1233706	+	6180	328
CLUG_02907	Supercontig_1.3	1231735	1232517	-	783	37
CLUG_02908	Supercontig_1.3	1236317	1239061	-	2745	438
CLUG_02909	Supercontig_1.3	1236782	1239220	+	2439	472
CLUG_02910	Supercontig_1.3	1239731	1242142	+	2412	1632
CLUG_02911	Supercontig_1.3	1242983	1244932	-	1950	885
CLUG_02912	Supercontig_1.3	1245700	1248204	-	2505	5293
CLUG_02913	Supercontig_1.3	1250554	1253040	-	2487	786
CLUG_02914	Supercontig_1.3	1254897	1255478	-	582	973
CLUG_02915	Supercontig_1.3	1256252	1256719	-	468	66
CLUG_02916	Supercontig_1.3	1258634	1259650	-	1017	450
CLUG_02917	Supercontig_1.3	1261620	1263215	+	1596	4850
CLUG_02918	Supercontig_1.3	1264183	1268415	-	4233	5800
CLUG_02919	Supercontig_1.3	1272836	1274518	-	1683	2355
CLUG_02920	Supercontig_1.3	1272842	1274566	+	1725	2384
CLUG_02921	Supercontig_1.3	1276035	1277621	-	1587	209
CLUG_02922	Supercontig_1.3	1276311	1277114	+	804	137
CLUG_02923	Supercontig_1.3	1278040	1280664	-	2625	658
CLUG_02924	Supercontig_1.3	1278334	1279818	+	1485	569
CLUG_02925	Supercontig_1.3	1279386	1279844	-	459	0
CLUG_02926	Supercontig_1.3	1280676	1281614	+	939	694
CLUG_02927	Supercontig_1.3	1281967	1282962	-	996	1809
CLUG_02928	Supercontig_1.3	1284300	1285211	-	912	2
CLUG_02929	Supercontig_1.3	1285789	1287753	+	1965	159
CLUG_02930	Supercontig_1.3	1289037	1291199	+	2163	1637
CLUG_02931	Supercontig_1.3	1289129	1289842	-	714	504
CLUG_02932	Supercontig_1.3	1292052	1294472	+	2421	1813
CLUG_02933	Supercontig_1.3	1294558	1296684	-	2127	3303
CLUG_02934	Supercontig_1.3	1297597	1298577	-	981	69
CLUG_02935	Supercontig_1.3	1299210	1301309	+	2100	1276
CLUG_02936	Supercontig_1.3	1301952	1302629	-	678	144
CLUG_02937	Supercontig_1.3	1302946	1303890	+	945	2818
CLUG_02938	Supercontig_1.3	1304681	1305880	-	1200	621
CLUG_02939	Supercontig_1.3	1307071	1307835	-	765	890
CLUG_02940	Supercontig_1.3	1308262	1310382	-	2121	6777
CLUG_02941	Supercontig_1.3	1310613	1311095	-	483	238
CLUG_02942	Supercontig_1.3	1313249	1314616	-	1368	1010
CLUG_02943	Supercontig_1.3	1315467	1316498	-	1032	3468
CLUG_02944	Supercontig_1.3	1317729	1318520	+	792	1339
CLUG_02945	Supercontig_1.3	1319157	1320548	+	1392	1963
CLUG_02946	Supercontig_1.3	1321443	1322462	-	1020	1241
CLUG_02947	Supercontig_1.3	1321524	1322465	+	942	1000
CLUG_02948	Supercontig_1.3	1323159	1324544	+	1386	174
CLUG_02949	Supercontig_1.3	1325623	1327110	+	1488	2414
CLUG_02950	Supercontig_1.3	1327249	1328652	-	1404	619
CLUG_02951	Supercontig_1.3	1328832	1330211	+	1380	644
CLUG_02952	Supercontig_1.3	1329002	1329601	-	600	299
CLUG_02953	Supercontig_1.3	1331209	1332060	-	852	831
CLUG_02954	Supercontig_1.3	1333599	1334618	+	1020	3355
CLUG_02955	Supercontig_1.3	1335806	1340209	+	4404	826
CLUG_02956	Supercontig_1.3	1340787	1342334	-	1548	935
CLUG_02957	Supercontig_1.3	1343059	1343829	-	771	1450
CLUG_02958	Supercontig_1.3	1344641	1345123	+	483	1713
CLUG_02959	Supercontig_1.3	1346229	1346561	-	333	2971
CLUG_02960	Supercontig_1.3	1347406	1349814	-	2409	766
CLUG_02961	Supercontig_1.3	1349957	1352683	+	2727	684
CLUG_02962	Supercontig_1.3	1353385	1354227	+	843	1815
CLUG_02963	Supercontig_1.3	1354343	1358182	-	3840	6901
CLUG_02964	Supercontig_1.3	1359609	1360133	-	525	11
CLUG_02965	Supercontig_1.3	1360344	1360811	+	468	26
CLUG_02966	Supercontig_1.3	1360838	1361896	+	1059	31336
CLUG_02967	Supercontig_1.3	1363356	1365206	-	1851	5749
CLUG_02968	Supercontig_1.3	1365867	1366907	+	1041	47020
CLUG_02969	Supercontig_1.3	1367295	1368500	-	1206	2214
CLUG_02970	Supercontig_1.3	1368803	1370995	-	2193	5565
CLUG_02971	Supercontig_1.3	1371620	1374820	-	3201	2291
CLUG_02972	Supercontig_1.3	1376010	1376723	+	714	89
CLUG_02973	Supercontig_1.3	1376084	1378351	-	2268	138
CLUG_02974	Supercontig_1.3	1377394	1377852	-	459	0
CLUG_02975	Supercontig_1.3	1377993	1378451	-	459	3
CLUG_02976	Supercontig_1.3	1379218	1380852	-	1635	20111
CLUG_02977	Supercontig_1.3	1382231	1383454	+	1224	794
CLUG_02978	Supercontig_1.3	1384533	1386125	+	1593	2666
CLUG_02979	Supercontig_1.3	1387361	1387813	+	453	2944
CLUG_02980	Supercontig_1.3	1389272	1392319	+	3048	3022
CLUG_02981	Supercontig_1.3	1392365	1394068	-	1704	4493
CLUG_02982	Supercontig_1.3	1394220	1395845	+	1626	2630
CLUG_02983	Supercontig_1.3	1396211	1397848	-	1638	1599
CLUG_02984	Supercontig_1.3	1400715	1403540	+	2826	6425
CLUG_02985	Supercontig_1.3	1404849	1405427	+	579	3511
CLUG_02986	Supercontig_1.3	1405481	1405780	-	300	934
CLUG_02987	Supercontig_1.3	1406522	1407718	+	1197	40040
CLUG_02988	Supercontig_1.3	1406621	1407739	-	1119	40695
CLUG_02989	Supercontig_1.3	1407881	1414273	+	6393	2341
CLUG_02990	Supercontig_1.3	1414886	1416124	+	1239	2142
CLUG_02991	Supercontig_1.3	1416935	1420165	+	3231	5098
CLUG_02992	Supercontig_1.3	1420219	1420848	-	630	214
CLUG_02993	Supercontig_1.3	1421019	1425494	-	4476	4013
CLUG_02994	Supercontig_1.3	1426076	1426282	+	207	1461
CLUG_02995	Supercontig_1.3	1427378	1428655	-	1278	4948
CLUG_02996	Supercontig_1.3	1430284	1432341	+	2058	1865
CLUG_02997	Supercontig_1.3	1432448	1433269	+	822	2187
CLUG_02998	Supercontig_1.3	1436594	1437967	+	1374	8776
CLUG_02999	Supercontig_1.3	1438058	1439929	-	1872	6198
CLUG_03000	Supercontig_1.3	1442974	1443888	-	915	10933
CLUG_03001	Supercontig_1.3	1445626	1447293	+	1668	3776
CLUG_03002	Supercontig_1.3	1445770	1447443	-	1674	3576
CLUG_03003	Supercontig_1.3	1449080	1450192	-	1113	2099
CLUG_03004	Supercontig_1.3	1453198	1454907	+	1710	509
CLUG_03005	Supercontig_1.3	1455710	1458778	+	3069	3296
CLUG_03006	Supercontig_1.3	1459103	1459825	-	723	686
CLUG_03007	Supercontig_1.3	1460558	1461604	+	1047	613
CLUG_03008	Supercontig_1.3	1461967	1463259	-	1293	835
CLUG_03009	Supercontig_1.3	1463734	1465617	+	1884	343
CLUG_03010	Supercontig_1.3	1465713	1467467	+	1755	1102
CLUG_03011	Supercontig_1.3	1467594	1468451	+	858	619
CLUG_03012	Supercontig_1.3	1468711	1471320	-	2610	1291
CLUG_03013	Supercontig_1.3	1472248	1473144	+	897	804
CLUG_03014	Supercontig_1.3	1473783	1474115	-	333	4573
CLUG_03015	Supercontig_1.3	1474709	1475254	+	546	6021
CLUG_03016	Supercontig_1.3	1474769	1475269	-	501	6163
CLUG_03017	Supercontig_1.3	1476071	1477003	+	933	775
CLUG_03018	Supercontig_1.3	1476125	1477009	-	885	673
CLUG_03019	Supercontig_1.3	1477315	1478259	-	945	3120
CLUG_03020	Supercontig_1.3	1478416	1481052	-	2637	3608
CLUG_03021	Supercontig_1.3	1482286	1483335	-	1050	4901
CLUG_03022	Supercontig_1.3	1484434	1485069	-	636	806
CLUG_03023	Supercontig_1.3	1485166	1486851	+	1686	1227
CLUG_03024	Supercontig_1.3	1487202	1487579	-	378	5403
CLUG_03025	Supercontig_1.3	1488108	1489520	-	1413	2607
CLUG_03026	Supercontig_1.3	1490370	1491524	+	1155	790
CLUG_03027	Supercontig_1.3	1491717	1492181	-	465	318
CLUG_03028	Supercontig_1.3	1491829	1492344	+	516	211
CLUG_03029	Supercontig_1.3	1492936	1495515	+	2580	5031
CLUG_03030	Supercontig_1.3	1496014	1496502	-	489	570
CLUG_03031	Supercontig_1.3	1497543	1498610	+	1068	397
CLUG_03032	Supercontig_1.3	1499330	1501270	-	1941	1357
CLUG_03033	Supercontig_1.3	1503956	1507951	+	3996	5742
CLUG_03034	Supercontig_1.3	1508291	1512868	-	4578	8852
CLUG_03035	Supercontig_1.3	1514806	1515504	-	699	12
CLUG_03036	Supercontig_1.3	1516011	1517918	+	1908	1948
CLUG_03037	Supercontig_1.3	1519053	1519349	+	297	1998
CLUG_03038	Supercontig_1.3	1519449	1522583	-	3135	4141
CLUG_03039	Supercontig_1.3	1525364	1525822	+	459	2
CLUG_03040	Supercontig_1.3	1525824	1527923	+	2100	38
CLUG_03041	Supercontig_1.3	1528078	1528695	+	618	608
CLUG_03042	Supercontig_1.3	1528822	1529868	-	1047	895
CLUG_03043	Supercontig_1.3	1530840	1531688	+	849	582
CLUG_03044	Supercontig_1.3	1533174	1535093	+	1920	1053
CLUG_03045	Supercontig_1.3	1537336	1538307	+	972	243
CLUG_03046	Supercontig_1.3	1538954	1541170	-	2217	11550
CLUG_03047	Supercontig_1.3	1541913	1542413	+	501	1587
CLUG_03048	Supercontig_1.3	1543059	1543802	+	744	711
CLUG_03049	Supercontig_1.3	1544081	1545631	-	1551	1455
CLUG_03050	Supercontig_1.3	1546436	1547893	+	1458	1745
CLUG_03051	Supercontig_1.3	1548070	1549347	-	1278	951
CLUG_03052	Supercontig_1.3	1549723	1551207	+	1485	420
CLUG_03053	Supercontig_1.3	1551952	1552560	-	609	9587
CLUG_03054	Supercontig_1.3	1553287	1555695	-	2409	6668
CLUG_03055	Supercontig_1.3	1556838	1560425	-	3588	2564
CLUG_03056	Supercontig_1.3	1562531	1564225	+	1695	1693
CLUG_03057	Supercontig_1.3	1564308	1565420	-	1113	1186
CLUG_03058	Supercontig_1.3	1566976	1569138	+	2163	1855
CLUG_03059	Supercontig_1.3	1570354	1570935	+	582	779
CLUG_03060	Supercontig_1.3	1571071	1574076	+	3006	5745
CLUG_03061	Supercontig_1.3	1574178	1575029	+	852	2083
CLUG_03062	Supercontig_1.3	1575111	1576406	-	1296	1461
CLUG_03063	Supercontig_1.3	1576514	1578592	-	2079	1262
CLUG_03064	Supercontig_1.3	1580647	1581258	+	612	10481
CLUG_03065	Supercontig_1.3	1581558	1582046	-	489	23818
CLUG_03066	Supercontig_1.3	1582138	1582692	-	555	17
CLUG_03067	Supercontig_1.3	1584013	1584183	-	171	3767
CLUG_03068	Supercontig_1.3	1584688	1587048	+	2361	1316
CLUG_03069	Supercontig_1.3	1587543	1588745	+	1203	1511
CLUG_03070	Supercontig_1.3	1589709	1591445	+	1737	4879
CLUG_03071	Supercontig_1.3	1592363	1595269	+	2907	3014
CLUG_03072	Supercontig_1.3	1595867	1597750	-	1884	2223
CLUG_03073	Supercontig_1.3	1599473	1600864	+	1392	1786
CLUG_03074	Supercontig_1.3	1601479	1602465	-	987	46
CLUG_03075	Supercontig_1.3	1604241	1605752	+	1512	1681
CLUG_03076	Supercontig_1.3	1605810	1607876	+	2067	2863
CLUG_03077	Supercontig_1.3	1609203	1609439	+	237	337
CLUG_03078	Supercontig_1.3	1609565	1612945	-	3381	5567
CLUG_03079	Supercontig_1.3	1614888	1616264	-	1377	2502
CLUG_03080	Supercontig_1.3	1617476	1620988	+	3513	2809
CLUG_03081	Supercontig_1.3	1621415	1622689	-	1275	2850
CLUG_03082	Supercontig_1.3	1623933	1624733	+	801	423
CLUG_03083	Supercontig_1.3	1625033	1625287	+	255	3962
CLUG_03084	Supercontig_1.3	1625763	1626941	-	1179	2533
CLUG_03085	Supercontig_1.3	1627243	1628673	+	1431	1610
CLUG_03086	Supercontig_1.3	1629927	1632443	+	2517	8695
CLUG_03087	Supercontig_1.3	1633136	1633546	+	411	13842
CLUG_03088	Supercontig_1.3	1634147	1635553	-	1407	7033
CLUG_03089	Supercontig_1.3	1637313	1637672	-	360	10498
CLUG_03090	Supercontig_1.3	1639161	1639661	-	501	8066
CLUG_03091	Supercontig_1.3	1640438	1641595	+	1158	1592
CLUG_03092	Supercontig_1.3	1642573	1646019	+	3447	8727
CLUG_03093	Supercontig_1.3	1646043	1647767	+	1725	178
CLUG_03094	Supercontig_1.3	1647860	1648495	-	636	602
CLUG_03095	Supercontig_1.3	1648923	1651091	-	2169	4999
CLUG_03096	Supercontig_1.3	1652035	1654503	-	2469	4727
CLUG_03097	Supercontig_1.3	1655512	1656054	+	543	3043
CLUG_03098	Supercontig_1.3	1656139	1657698	-	1560	1980
CLUG_03099	Supercontig_1.3	1656152	1656751	+	600	1045
CLUG_03100	Supercontig_1.3	1659041	1659397	-	357	1765
CLUG_03101	Supercontig_1.3	1660211	1660855	+	645	1433
CLUG_03102	Supercontig_1.3	1660901	1661242	-	342	1383
CLUG_03103	Supercontig_1.3	1661252	1661704	-	453	1126
CLUG_03104	Supercontig_1.3	1661976	1662329	-	354	11820
CLUG_03105	Supercontig_1.3	1665626	1666123	-	498	404
