# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/U10D.r1.gsnap_reads.tab" "-F" "GTF" "aln/U10D.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/U10D.r1.gsnap.bam
CLUG_02981	Supercontig_1.3	1392365	1394068	-	1704	3630
CLUG_02982	Supercontig_1.3	1394220	1395845	+	1626	1959
CLUG_02983	Supercontig_1.3	1396211	1397848	-	1638	906
CLUG_02984	Supercontig_1.3	1400715	1403540	+	2826	4951
CLUG_02985	Supercontig_1.3	1404849	1405427	+	579	2168
CLUG_02986	Supercontig_1.3	1405481	1405780	-	300	626
CLUG_02987	Supercontig_1.3	1406522	1407718	+	1197	30915
CLUG_02988	Supercontig_1.3	1406621	1407739	-	1119	31115
CLUG_02989	Supercontig_1.3	1407881	1414273	+	6393	1613
CLUG_02990	Supercontig_1.3	1414886	1416124	+	1239	1811
CLUG_02991	Supercontig_1.3	1416935	1420165	+	3231	2116
CLUG_02992	Supercontig_1.3	1420219	1420848	-	630	112
CLUG_02993	Supercontig_1.3	1421019	1425494	-	4476	2394
CLUG_02994	Supercontig_1.3	1426076	1426282	+	207	715
CLUG_02995	Supercontig_1.3	1427378	1428655	-	1278	2725
CLUG_02996	Supercontig_1.3	1430284	1432341	+	2058	910
CLUG_02997	Supercontig_1.3	1432448	1433269	+	822	1262
CLUG_02998	Supercontig_1.3	1436594	1437967	+	1374	4791
CLUG_02999	Supercontig_1.3	1438058	1439929	-	1872	3648
CLUG_03000	Supercontig_1.3	1442974	1443888	-	915	7303
CLUG_03001	Supercontig_1.3	1445626	1447293	+	1668	2499
CLUG_03002	Supercontig_1.3	1445770	1447443	-	1674	2302
CLUG_03003	Supercontig_1.3	1449080	1450192	-	1113	1279
CLUG_03004	Supercontig_1.3	1453198	1454907	+	1710	326
CLUG_03005	Supercontig_1.3	1455710	1458778	+	3069	1905
CLUG_03006	Supercontig_1.3	1459103	1459825	-	723	386
CLUG_03007	Supercontig_1.3	1460558	1461604	+	1047	351
CLUG_03008	Supercontig_1.3	1461967	1463259	-	1293	363
CLUG_03009	Supercontig_1.3	1463734	1465617	+	1884	131
CLUG_03010	Supercontig_1.3	1465713	1467467	+	1755	366
CLUG_03011	Supercontig_1.3	1467594	1468451	+	858	369
CLUG_03012	Supercontig_1.3	1468711	1471320	-	2610	750
CLUG_03013	Supercontig_1.3	1472248	1473144	+	897	478
CLUG_03014	Supercontig_1.3	1473783	1474115	-	333	3385
CLUG_03015	Supercontig_1.3	1474709	1475254	+	546	4249
CLUG_03016	Supercontig_1.3	1474769	1475269	-	501	4313
CLUG_03017	Supercontig_1.3	1476071	1477003	+	933	461
CLUG_03018	Supercontig_1.3	1476125	1477009	-	885	355
CLUG_03019	Supercontig_1.3	1477315	1478259	-	945	2797
CLUG_03020	Supercontig_1.3	1478416	1481052	-	2637	1827
CLUG_03021	Supercontig_1.3	1482286	1483335	-	1050	3395
CLUG_03022	Supercontig_1.3	1484434	1485069	-	636	473
CLUG_03023	Supercontig_1.3	1485166	1486851	+	1686	661
CLUG_03024	Supercontig_1.3	1487202	1487579	-	378	2758
CLUG_03025	Supercontig_1.3	1488108	1489520	-	1413	1378
CLUG_03026	Supercontig_1.3	1490370	1491524	+	1155	492
CLUG_03027	Supercontig_1.3	1491717	1492181	-	465	195
CLUG_03028	Supercontig_1.3	1491829	1492344	+	516	91
CLUG_03029	Supercontig_1.3	1492936	1495515	+	2580	3134
CLUG_03030	Supercontig_1.3	1496014	1496502	-	489	351
CLUG_03031	Supercontig_1.3	1497543	1498610	+	1068	174
CLUG_03032	Supercontig_1.3	1499330	1501270	-	1941	726
CLUG_03033	Supercontig_1.3	1503956	1507951	+	3996	1812
CLUG_03034	Supercontig_1.3	1508291	1512868	-	4578	5946
CLUG_03035	Supercontig_1.3	1514806	1515504	-	699	18
CLUG_03036	Supercontig_1.3	1516011	1517918	+	1908	1041
CLUG_03037	Supercontig_1.3	1519053	1519349	+	297	1213
CLUG_03038	Supercontig_1.3	1519449	1522583	-	3135	2081
CLUG_03039	Supercontig_1.3	1525364	1525822	+	459	1
CLUG_03040	Supercontig_1.3	1525824	1527923	+	2100	32
CLUG_03041	Supercontig_1.3	1528078	1528695	+	618	300
CLUG_03042	Supercontig_1.3	1528822	1529868	-	1047	456
CLUG_03043	Supercontig_1.3	1530840	1531688	+	849	338
CLUG_03044	Supercontig_1.3	1533174	1535093	+	1920	792
CLUG_03045	Supercontig_1.3	1537336	1538307	+	972	140
CLUG_03046	Supercontig_1.3	1538954	1541170	-	2217	5561
CLUG_03047	Supercontig_1.3	1541913	1542413	+	501	782
CLUG_03048	Supercontig_1.3	1543059	1543802	+	744	557
CLUG_03049	Supercontig_1.3	1544081	1545631	-	1551	741
CLUG_03050	Supercontig_1.3	1546436	1547893	+	1458	1010
CLUG_03051	Supercontig_1.3	1548070	1549347	-	1278	562
CLUG_03052	Supercontig_1.3	1549723	1551207	+	1485	244
CLUG_03053	Supercontig_1.3	1551952	1552560	-	609	5811
CLUG_03054	Supercontig_1.3	1553287	1555695	-	2409	4353
CLUG_03055	Supercontig_1.3	1556838	1560425	-	3588	1080
CLUG_03056	Supercontig_1.3	1562531	1564225	+	1695	1001
CLUG_03057	Supercontig_1.3	1564308	1565420	-	1113	657
CLUG_03058	Supercontig_1.3	1566976	1569138	+	2163	1015
CLUG_03059	Supercontig_1.3	1570354	1570935	+	582	380
CLUG_03060	Supercontig_1.3	1571071	1574076	+	3006	2753
CLUG_03061	Supercontig_1.3	1574178	1575029	+	852	1027
CLUG_03062	Supercontig_1.3	1575111	1576406	-	1296	702
CLUG_03063	Supercontig_1.3	1576514	1578592	-	2079	683
CLUG_03064	Supercontig_1.3	1580647	1581258	+	612	7431
CLUG_03065	Supercontig_1.3	1581558	1582046	-	489	13629
CLUG_03066	Supercontig_1.3	1582138	1582692	-	555	13
CLUG_03067	Supercontig_1.3	1584013	1584183	-	171	2272
CLUG_03068	Supercontig_1.3	1584688	1587048	+	2361	831
CLUG_03069	Supercontig_1.3	1587543	1588745	+	1203	1231
CLUG_03070	Supercontig_1.3	1589709	1591445	+	1737	5185
CLUG_03071	Supercontig_1.3	1592363	1595269	+	2907	1599
CLUG_03072	Supercontig_1.3	1595867	1597750	-	1884	1050
CLUG_03073	Supercontig_1.3	1599473	1600864	+	1392	927
CLUG_03074	Supercontig_1.3	1601479	1602465	-	987	32
CLUG_03075	Supercontig_1.3	1604241	1605752	+	1512	628
CLUG_03076	Supercontig_1.3	1605810	1607876	+	2067	1202
CLUG_03077	Supercontig_1.3	1609203	1609439	+	237	247
CLUG_03078	Supercontig_1.3	1609565	1612945	-	3381	3001
CLUG_03079	Supercontig_1.3	1614888	1616264	-	1377	940
CLUG_03080	Supercontig_1.3	1617476	1620988	+	3513	1213
CLUG_03081	Supercontig_1.3	1621415	1622689	-	1275	2066
CLUG_03082	Supercontig_1.3	1623933	1624733	+	801	274
CLUG_03083	Supercontig_1.3	1625033	1625287	+	255	2856
CLUG_03084	Supercontig_1.3	1625763	1626941	-	1179	1310
CLUG_03085	Supercontig_1.3	1627243	1628673	+	1431	875
CLUG_03086	Supercontig_1.3	1629927	1632443	+	2517	5534
CLUG_03087	Supercontig_1.3	1633136	1633546	+	411	7004
CLUG_03088	Supercontig_1.3	1634147	1635553	-	1407	6594
CLUG_03089	Supercontig_1.3	1637313	1637672	-	360	7921
CLUG_03090	Supercontig_1.3	1639161	1639661	-	501	3228
CLUG_03091	Supercontig_1.3	1640438	1641595	+	1158	694
CLUG_03092	Supercontig_1.3	1642573	1646019	+	3447	5975
CLUG_03093	Supercontig_1.3	1646043	1647767	+	1725	57
CLUG_03094	Supercontig_1.3	1647860	1648495	-	636	221
CLUG_03095	Supercontig_1.3	1648923	1651091	-	2169	2852
CLUG_03096	Supercontig_1.3	1652035	1654503	-	2469	3380
CLUG_03097	Supercontig_1.3	1655512	1656054	+	543	1217
CLUG_03098	Supercontig_1.3	1656139	1657698	-	1560	1955
CLUG_03099	Supercontig_1.3	1656152	1656751	+	600	992
CLUG_03100	Supercontig_1.3	1659041	1659397	-	357	968
CLUG_03101	Supercontig_1.3	1660211	1660855	+	645	730
CLUG_03102	Supercontig_1.3	1660901	1661242	-	342	741
CLUG_03103	Supercontig_1.3	1661252	1661704	-	453	567
CLUG_03104	Supercontig_1.3	1661976	1662329	-	354	10053
CLUG_03105	Supercontig_1.3	1665626	1666123	-	498	205
CLUG_03106	Supercontig_1.3	1668038	1671307	+	3270	5469
CLUG_03107	Supercontig_1.3	1668532	1669077	-	546	681
CLUG_03108	Supercontig_1.3	1671472	1673397	-	1926	966
CLUG_03109	Supercontig_1.3	1673424	1675628	+	2205	882
CLUG_03110	Supercontig_1.3	1675645	1677447	-	1803	1039
CLUG_03111	Supercontig_1.3	1677908	1678711	-	804	187
CLUG_03112	Supercontig_1.3	1679078	1682776	+	3699	3175
CLUG_03113	Supercontig_1.3	1683175	1687644	-	4470	11410
CLUG_03114	Supercontig_1.3	1687970	1688500	+	531	4
CLUG_03115	Supercontig_1.3	1688907	1701437	+	12531	2449
CLUG_03116	Supercontig_1.3	1701617	1702090	-	474	5481
CLUG_03117	Supercontig_1.3	1703228	1704724	-	1497	546
CLUG_03118	Supercontig_1.3	1706374	1706871	+	498	382
CLUG_03119	Supercontig_1.3	1707003	1707884	-	882	560
CLUG_03120	Supercontig_1.3	1708052	1708243	-	192	300
CLUG_03121	Supercontig_1.3	1708810	1709526	+	717	2375
CLUG_03122	Supercontig_1.3	1709559	1710884	-	1326	1333
CLUG_03123	Supercontig_1.3	1711858	1713447	+	1590	1473
CLUG_03124	Supercontig_1.3	1713726	1714664	-	939	7075
CLUG_03125	Supercontig_1.3	1716182	1717348	+	1167	11715
CLUG_03126	Supercontig_1.3	1717721	1718701	+	981	208
CLUG_03127	Supercontig_1.3	1719413	1721017	-	1605	550
CLUG_03128	Supercontig_1.3	1725907	1726746	+	840	201
CLUG_03129	Supercontig_1.3	1727366	1727827	+	462	799
CLUG_03130	Supercontig_1.3	1728026	1729615	-	1590	3346
CLUG_03131	Supercontig_1.3	1730519	1731517	-	999	1830
CLUG_03132	Supercontig_1.3	1732707	1734944	+	2238	3096
CLUG_03133	Supercontig_1.3	1735966	1736247	+	282	188
CLUG_03134	Supercontig_1.3	1736309	1736854	+	546	706
CLUG_03135	Supercontig_1.3	1736407	1738206	-	1800	1618
CLUG_03136	Supercontig_1.3	1738567	1739037	+	471	187
CLUG_03137	Supercontig_1.3	1739477	1741303	-	1827	1669
CLUG_03138	Supercontig_1.3	1741814	1742653	-	840	7849
CLUG_03139	Supercontig_1.3	1744137	1745642	+	1506	2089
CLUG_03140	Supercontig_1.3	1746254	1746712	+	459	5107
CLUG_03141	Supercontig_1.3	1746922	1748895	+	1974	1653
CLUG_03142	Supercontig_1.3	1749087	1750766	-	1680	496
CLUG_03143	Supercontig_1.3	1750784	1751953	-	1170	282
CLUG_03144	Supercontig_1.3	1752170	1754386	-	2217	251
CLUG_03145	Supercontig_1.3	1754946	1755911	-	966	613
CLUG_03146	Supercontig_1.3	1756581	1758179	-	1599	1040
CLUG_03147	Supercontig_1.3	1758952	1761270	-	2319	4210
CLUG_03148	Supercontig_1.3	1762955	1765315	-	2361	968
CLUG_03149	Supercontig_1.3	1765918	1767336	-	1419	808
CLUG_03150	Supercontig_1.3	1768263	1768610	+	348	5138
CLUG_03151	Supercontig_1.3	1768952	1771099	+	2148	525
CLUG_03152	Supercontig_1.3	1771324	1773342	-	2019	359
CLUG_03153	Supercontig_1.3	1774050	1775408	+	1359	971
CLUG_03154	Supercontig_1.3	1776396	1777649	+	1254	13
CLUG_03155	Supercontig_1.3	1778075	1778830	-	756	155
CLUG_03156	Supercontig_1.3	1779218	1780945	-	1728	1230
CLUG_03157	Supercontig_1.3	1781265	1783238	+	1974	746
CLUG_03158	Supercontig_1.3	1783664	1784158	-	495	333
CLUG_03159	Supercontig_1.3	1784722	1785510	-	789	504
CLUG_03160	Supercontig_1.3	1786258	1788651	-	2394	1276
CLUG_03161	Supercontig_1.3	1789072	1790070	-	999	1874
CLUG_03162	Supercontig_1.3	1793303	1794727	+	1425	12843
CLUG_03163	Supercontig_1.3	1795975	1797969	-	1995	1382
CLUG_03164	Supercontig_1.3	1799247	1799693	-	447	465
CLUG_03165	Supercontig_1.3	1799932	1800408	+	477	379
CLUG_03166	Supercontig_1.3	1800941	1802536	+	1596	965
CLUG_03167	Supercontig_1.3	1802852	1803118	-	267	269
CLUG_03168	Supercontig_1.3	1803691	1807731	+	4041	8685
CLUG_03169	Supercontig_1.3	1808263	1809090	-	828	5313
CLUG_03170	Supercontig_1.3	1808278	1809006	+	729	5239
CLUG_03171	Supercontig_1.3	1811080	1811403	-	324	865
CLUG_03172	Supercontig_1.3	1812308	1816162	+	3855	3500
CLUG_03173	Supercontig_1.3	1816211	1818562	-	2352	915
CLUG_03174	Supercontig_1.3	1819412	1821334	+	1923	1259
CLUG_03175	Supercontig_1.3	1821592	1824066	-	2475	6616
CLUG_03176	Supercontig_1.3	1825747	1827099	-	1353	2424
CLUG_03177	Supercontig_1.3	1827985	1828839	-	855	639
CLUG_03178	Supercontig_1.3	1829954	1830958	-	1005	470
CLUG_03179	Supercontig_1.3	1832432	1834174	+	1743	16062
CLUG_03180	Supercontig_1.3	1835363	1838611	+	3249	3375
CLUG_03181	Supercontig_1.3	1838700	1839827	-	1128	458
CLUG_03182	Supercontig_1.3	1840099	1842066	-	1968	326
CLUG_03183	Supercontig_1.3	1842237	1843046	-	810	369
CLUG_03184	Supercontig_1.3	1843422	1844099	-	678	55
CLUG_03185	Supercontig_1.3	1844943	1846637	-	1695	3039
CLUG_03186	Supercontig_1.3	1846796	1847800	-	1005	564
CLUG_03187	Supercontig_1.3	1848032	1849930	-	1899	845
CLUG_03188	Supercontig_1.3	1850301	1851467	-	1167	3495
CLUG_03189	Supercontig_1.3	1851864	1853066	-	1203	890
CLUG_03190	Supercontig_1.3	1853377	1854522	-	1146	332
CLUG_03191	Supercontig_1.3	1854578	1855501	-	924	132
CLUG_03192	Supercontig_1.3	1855938	1857449	+	1512	1492
CLUG_03193	Supercontig_1.3	1858064	1859809	+	1746	2385
CLUG_03194	Supercontig_1.3	1863733	1864245	-	513	11
CLUG_03195	Supercontig_1.3	1872847	1873305	-	459	1
CLUG_03196	Supercontig_1.3	1872993	1873502	+	510	8
CLUG_03197	Supercontig_1.4	399	1046	-	648	686
CLUG_03198	Supercontig_1.4	4967	6052	+	1086	59
CLUG_03199	Supercontig_1.4	7141	8229	+	1089	1112
CLUG_03200	Supercontig_1.4	8990	9475	-	486	1036
CLUG_03201	Supercontig_1.4	10811	11356	-	546	1799
CLUG_03202	Supercontig_1.4	13044	14609	+	1566	2562
CLUG_03203	Supercontig_1.4	15877	17157	-	1281	10898
CLUG_03204	Supercontig_1.4	17284	17871	-	588	1577
CLUG_03205	Supercontig_1.4	19641	21125	-	1485	354
CLUG_03206	Supercontig_1.4	22563	23024	+	462	0
CLUG_03207	Supercontig_1.4	24380	25657	-	1278	1029
CLUG_03208	Supercontig_1.4	26061	26762	+	702	307
CLUG_03209	Supercontig_1.4	27226	28812	-	1587	1873
CLUG_03210	Supercontig_1.4	29594	30028	+	435	420
CLUG_03211	Supercontig_1.4	30039	32408	-	2370	862
CLUG_03212	Supercontig_1.4	30766	31533	+	768	160
CLUG_03213	Supercontig_1.4	34525	35226	-	702	8
CLUG_03214	Supercontig_1.4	35800	36348	+	549	336
CLUG_03215	Supercontig_1.4	35830	36876	-	1047	619
CLUG_03216	Supercontig_1.4	41206	41940	+	735	0
CLUG_03217	Supercontig_1.4	43868	44836	+	969	720
CLUG_03218	Supercontig_1.4	45012	45509	+	498	1
CLUG_03219	Supercontig_1.4	45595	46761	-	1167	391
CLUG_03220	Supercontig_1.4	47143	49101	-	1959	579
CLUG_03221	Supercontig_1.4	49933	51441	-	1509	982
CLUG_03222	Supercontig_1.4	52256	54850	+	2595	233
CLUG_03223	Supercontig_1.4	55301	57301	-	2001	1446
CLUG_03224	Supercontig_1.4	59016	59318	+	303	1730
CLUG_03225	Supercontig_1.4	60779	61162	-	384	300
CLUG_03226	Supercontig_1.4	62128	64041	-	1914	768
CLUG_03227	Supercontig_1.4	65308	66633	+	1326	262
CLUG_03228	Supercontig_1.4	67348	68712	+	1365	21
CLUG_03229	Supercontig_1.4	69367	70752	+	1386	10
CLUG_03230	Supercontig_1.4	71864	72745	-	882	286
CLUG_03231	Supercontig_1.4	71867	72583	+	717	231
CLUG_03232	Supercontig_1.4	72810	73310	+	501	17
CLUG_03233	Supercontig_1.4	74477	76696	+	2220	608
CLUG_03234	Supercontig_1.4	77068	79032	-	1965	52181
CLUG_03235	Supercontig_1.4	81065	81577	+	513	8627
CLUG_03236	Supercontig_1.4	83308	83949	+	642	2904
CLUG_03237	Supercontig_1.4	83350	83574	-	225	2522
CLUG_03238	Supercontig_1.4	85288	86337	+	1050	74
CLUG_03239	Supercontig_1.4	85576	86121	-	546	57
CLUG_03240	Supercontig_1.4	88615	89769	-	1155	42318
CLUG_03241	Supercontig_1.4	88657	89739	+	1083	42541
CLUG_03242	Supercontig_1.4	90500	92389	-	1890	83
CLUG_03243	Supercontig_1.4	93964	96693	+	2730	16
CLUG_03244	Supercontig_1.4	97143	99782	-	2640	1105
CLUG_03245	Supercontig_1.4	100392	101723	+	1332	185
CLUG_03246	Supercontig_1.4	103108	104751	-	1644	3350
CLUG_03247	Supercontig_1.4	108429	108905	-	477	996
CLUG_03248	Supercontig_1.4	108907	109395	-	489	793
CLUG_03249	Supercontig_1.4	111895	114366	+	2472	655
CLUG_03250	Supercontig_1.4	115149	116447	-	1299	1667
CLUG_03251	Supercontig_1.4	118340	120013	+	1674	11
CLUG_03252	Supercontig_1.4	121683	125906	+	4224	5803
CLUG_03253	Supercontig_1.4	126024	126479	-	456	472
CLUG_03254	Supercontig_1.4	126663	127202	-	540	444
CLUG_03255	Supercontig_1.4	127394	128221	-	828	2104
CLUG_03256	Supercontig_1.4	129217	130572	-	1356	1292
CLUG_03257	Supercontig_1.4	131427	133910	-	2484	1881
CLUG_03258	Supercontig_1.4	134369	136687	+	2319	4489
CLUG_03259	Supercontig_1.4	136740	137171	+	432	438
CLUG_03260	Supercontig_1.4	137179	137796	-	618	356
CLUG_03261	Supercontig_1.4	138115	139560	-	1446	679
CLUG_03262	Supercontig_1.4	139647	140507	-	861	770
CLUG_03263	Supercontig_1.4	145189	147897	+	2709	2083
CLUG_03264	Supercontig_1.4	147978	149342	+	1365	950
CLUG_03265	Supercontig_1.4	149950	151074	-	1125	514
CLUG_03266	Supercontig_1.4	152288	153259	-	972	956
CLUG_03267	Supercontig_1.4	153682	154428	+	747	1027
CLUG_03268	Supercontig_1.4	154695	157316	+	2622	1198
CLUG_03269	Supercontig_1.4	157398	157892	+	495	0
CLUG_03270	Supercontig_1.4	158851	160026	+	1176	830
CLUG_03271	Supercontig_1.4	160513	162660	+	2148	3462
CLUG_03272	Supercontig_1.4	163033	164436	-	1404	605
CLUG_03273	Supercontig_1.4	164335	165225	+	891	49
CLUG_03274	Supercontig_1.4	166177	174534	+	8358	34255
CLUG_03275	Supercontig_1.4	175063	175851	+	789	275
CLUG_03276	Supercontig_1.4	178392	179771	+	1380	33
CLUG_03277	Supercontig_1.4	178541	179914	+	1374	2
CLUG_03278	Supercontig_1.4	180705	183785	-	3081	2552
CLUG_03279	Supercontig_1.4	184604	185410	+	807	146
CLUG_03280	Supercontig_1.4	185565	186356	+	792	1157
CLUG_03281	Supercontig_1.4	185799	186485	-	687	1168
CLUG_03282	Supercontig_1.4	188711	193765	+	5055	1097
CLUG_03283	Supercontig_1.4	195136	196473	+	1338	106
CLUG_03284	Supercontig_1.4	195268	195825	-	558	64
CLUG_03285	Supercontig_1.4	195836	196321	+	486	0
CLUG_03286	Supercontig_1.4	197671	198549	+	879	334
CLUG_03287	Supercontig_1.4	197812	198423	-	612	365
CLUG_03288	Supercontig_1.4	198350	198985	+	636	424
CLUG_03289	Supercontig_1.4	200335	202767	+	2433	411
CLUG_03290	Supercontig_1.4	202968	203420	-	453	166
CLUG_03291	Supercontig_1.4	204184	205626	-	1443	2854
CLUG_03292	Supercontig_1.4	207815	209260	+	1446	473
CLUG_03293	Supercontig_1.4	209880	211427	-	1548	7188
CLUG_03294	Supercontig_1.4	214266	215537	+	1272	537
CLUG_03295	Supercontig_1.4	216160	217098	-	939	289
CLUG_03296	Supercontig_1.4	218012	218623	-	612	0
CLUG_03297	Supercontig_1.4	218058	218660	-	603	63
CLUG_03298	Supercontig_1.4	218292	218753	+	462	506
CLUG_03299	Supercontig_1.4	220534	222324	+	1791	502
CLUG_03300	Supercontig_1.4	222706	223371	+	666	1113
CLUG_03301	Supercontig_1.4	222928	223542	-	615	1006
CLUG_03302	Supercontig_1.4	225775	227706	+	1932	640
CLUG_03303	Supercontig_1.4	231647	232354	-	708	86
CLUG_03304	Supercontig_1.4	234172	235890	-	1719	2650
CLUG_03305	Supercontig_1.4	237434	238156	+	723	2507
CLUG_03306	Supercontig_1.4	237452	238174	-	723	2524
CLUG_03307	Supercontig_1.4	239595	241067	-	1473	2062
CLUG_03308	Supercontig_1.4	243717	245369	+	1653	12
CLUG_03309	Supercontig_1.4	246094	246648	+	555	982
CLUG_03310	Supercontig_1.4	246148	246606	-	459	970
CLUG_03311	Supercontig_1.4	247050	247850	+	801	261
CLUG_03312	Supercontig_1.4	247936	250785	-	2850	6389
CLUG_03313	Supercontig_1.4	251462	253744	-	2283	1314
CLUG_03314	Supercontig_1.4	255498	256460	+	963	2560
CLUG_03315	Supercontig_1.4	258252	260552	+	2301	1015
CLUG_03316	Supercontig_1.4	261556	262002	-	447	264
CLUG_03317	Supercontig_1.4	261593	262144	+	552	221
CLUG_03318	Supercontig_1.4	263879	265120	+	1242	3113
CLUG_03319	Supercontig_1.4	266813	268177	+	1365	345
CLUG_03320	Supercontig_1.4	266816	267481	-	666	103
CLUG_03321	Supercontig_1.4	269029	269958	-	930	70
CLUG_03322	Supercontig_1.4	272160	273851	-	1692	5823
CLUG_03323	Supercontig_1.4	274097	276352	-	2256	2289
CLUG_03324	Supercontig_1.4	278702	279673	+	972	732
CLUG_03325	Supercontig_1.4	279969	280523	-	555	65
CLUG_03326	Supercontig_1.4	280562	283549	-	2988	223
CLUG_03327	Supercontig_1.4	284432	285058	-	627	284
CLUG_03328	Supercontig_1.4	284508	285077	+	570	331
CLUG_03329	Supercontig_1.4	285558	287879	+	2322	844
CLUG_03330	Supercontig_1.4	288080	288670	+	591	61
CLUG_03331	Supercontig_1.4	288617	289219	-	603	349
CLUG_03332	Supercontig_1.4	289319	291088	+	1770	2872
CLUG_03333	Supercontig_1.4	292105	293172	-	1068	569
CLUG_03334	Supercontig_1.4	294136	296016	+	1881	2027
CLUG_03335	Supercontig_1.4	296175	296975	-	801	381
CLUG_03336	Supercontig_1.4	297495	298931	-	1437	2149
CLUG_03337	Supercontig_1.4	300080	300925	-	846	650
CLUG_03338	Supercontig_1.4	302043	303230	+	1188	1741
CLUG_03339	Supercontig_1.4	304257	304694	-	438	9171
CLUG_03340	Supercontig_1.4	306096	307127	-	1032	1121
CLUG_03341	Supercontig_1.4	307593	308849	-	1257	1185
CLUG_03342	Supercontig_1.4	308964	310451	-	1488	323
CLUG_03343	Supercontig_1.4	310645	311526	-	882	8752
CLUG_03344	Supercontig_1.4	312176	313228	+	1053	2443
CLUG_03345	Supercontig_1.4	314035	315639	+	1605	1675
CLUG_03346	Supercontig_1.4	314602	315420	-	819	981
CLUG_03347	Supercontig_1.4	317628	318842	+	1215	296
CLUG_03348	Supercontig_1.4	320307	321221	+	915	191
CLUG_03349	Supercontig_1.4	323413	324273	+	861	123
CLUG_03350	Supercontig_1.4	324341	325573	-	1233	730
CLUG_03351	Supercontig_1.4	325881	327314	+	1434	665
CLUG_03352	Supercontig_1.4	327512	328342	-	831	284
CLUG_03353	Supercontig_1.4	329065	329541	+	477	303
CLUG_03354	Supercontig_1.4	329613	331838	-	2226	1898
CLUG_03355	Supercontig_1.4	331954	332946	-	993	380
CLUG_03356	Supercontig_1.4	333567	334127	-	561	10
CLUG_03357	Supercontig_1.4	334000	335337	-	1338	32
CLUG_03358	Supercontig_1.4	336824	337072	+	249	1475
CLUG_03359	Supercontig_1.4	337795	340173	-	2379	327
CLUG_03360	Supercontig_1.4	340242	341093	+	852	1101
CLUG_03361	Supercontig_1.4	341780	342766	+	987	71
CLUG_03362	Supercontig_1.4	342130	342729	-	600	30
CLUG_03363	Supercontig_1.4	342835	343920	-	1086	556
CLUG_03364	Supercontig_1.4	344616	348860	-	4245	1776
CLUG_03365	Supercontig_1.4	348962	349591	+	630	111
CLUG_03366	Supercontig_1.4	349772	350317	+	546	202
CLUG_03367	Supercontig_1.4	351161	352087	-	927	871
CLUG_03368	Supercontig_1.4	352482	353846	+	1365	505
CLUG_03369	Supercontig_1.4	354488	356392	+	1905	222
CLUG_03370	Supercontig_1.4	357987	360107	+	2121	2374
CLUG_03371	Supercontig_1.4	360352	362313	-	1962	8594
CLUG_03372	Supercontig_1.4	363089	364903	+	1815	523
CLUG_03373	Supercontig_1.4	363134	364777	-	1644	505
CLUG_03374	Supercontig_1.4	366337	368160	-	1824	718
CLUG_03375	Supercontig_1.4	368631	369353	+	723	480
CLUG_03376	Supercontig_1.4	369984	371792	+	1809	1590
CLUG_03377	Supercontig_1.4	372916	374238	+	1323	5017
CLUG_03378	Supercontig_1.4	373455	374225	-	771	3426
CLUG_03379	Supercontig_1.4	374810	375400	-	591	263
CLUG_03380	Supercontig_1.4	375816	376220	+	405	184
CLUG_03381	Supercontig_1.4	376982	378079	+	1098	903
CLUG_03382	Supercontig_1.4	377003	377959	-	957	740
CLUG_03383	Supercontig_1.4	379645	380820	-	1176	474
CLUG_03384	Supercontig_1.4	380024	380869	+	846	386
CLUG_03385	Supercontig_1.4	382501	383565	+	1065	258
CLUG_03386	Supercontig_1.4	384057	386402	+	2346	1364
CLUG_03387	Supercontig_1.4	388220	388735	+	516	3109
CLUG_03388	Supercontig_1.4	389284	390183	-	900	2894
CLUG_03389	Supercontig_1.4	391235	392464	+	1230	672
CLUG_03390	Supercontig_1.4	393199	394056	-	858	461
CLUG_03391	Supercontig_1.4	396402	399593	+	3192	8300
CLUG_03392	Supercontig_1.4	400245	400898	+	654	3351
CLUG_03393	Supercontig_1.4	401936	402406	+	471	221
CLUG_03394	Supercontig_1.4	403290	405200	+	1911	592
CLUG_03395	Supercontig_1.4	405240	406568	-	1329	267
CLUG_03396	Supercontig_1.4	407363	408823	-	1461	1450
CLUG_03397	Supercontig_1.4	409485	409931	-	447	334
CLUG_03398	Supercontig_1.4	415280	419524	-	4245	39
CLUG_03399	Supercontig_1.4	420617	421675	-	1059	203
CLUG_03400	Supercontig_1.4	422296	423309	-	1014	582
CLUG_03401	Supercontig_1.4	424598	426844	+	2247	2521
CLUG_03402	Supercontig_1.4	428555	429526	-	972	1353
CLUG_03403	Supercontig_1.4	431983	433296	+	1314	421
CLUG_03404	Supercontig_1.4	433351	434232	-	882	893
CLUG_03405	Supercontig_1.4	435288	436961	+	1674	279
CLUG_03406	Supercontig_1.4	438380	443752	+	5373	941
CLUG_03407	Supercontig_1.4	438533	439054	-	522	96
CLUG_03408	Supercontig_1.4	438679	439302	+	624	0
CLUG_03409	Supercontig_1.4	440364	440816	+	453	0
CLUG_03410	Supercontig_1.4	444121	447174	+	3054	1570
